Serial Number,sub_district,district,state,total_area_sq_km,estimated_population,current_green_cover_sq_km,targeted_green_cover_sq_km,greenery_deficit_sq_km,annual_mean_temp_c,annual_mean_rainfall_mm,soil_org_carbon_pct,surface_water_sq_km,population_density,greenery_deficit_pct,deficit_score,pop_density_score,priority_index,agro_eco_zone_description,forestry_trees,horticulture_plants,sustainable_cover
1,Leh,Leh (Ladakh),Jammu and Kashmir,47684.26,127226,0.67,14305.28,14304.61,-9.78,215.05,27.31,984.1,2.668092155,0.299985991,0.899957974,7.53E-05,54.00048951,Unclassified,N/A,N/A,General local species
2,Jaisalmer,Jaisalmer,Rajasthan,28948.42,396525,922.56,8684.53,7761.97,27.17,260.28,10.68,80.56,13.69763877,0.268131041,0.804393124,0.000386464,48.27904602,"Very hot, arid climate. (AEZ 2: Western Plains)","Prosopis cineraria (Khejri), Acacia tortilis (Israeli Babul), Tecomella undulata (Rohida)","Ziziphus mauritiana (Ber), Punica granatum (Pomegranate), Emblica officinalis (Amla)","Cenchrus ciliaris (Dhaman grass), Lasiurus sindicus (Sewan grass), Xerophytic shrubs"
3,Kachchh,Kachchh,Gujarat,21702.59,301954,587.65,6510.78,5923.13,27.22,449.09,16.7,15511.4,13.91327026,0.272922725,0.818768175,0.000392548,49.14179241,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
4,Kargil,Kargil,Jammu and Kashmir,14777.97,140332,0.16,4433.39,4433.23,-8.06,458.22,31.11,144.01,9.496026856,0.299989105,0.899967316,0.00026792,54.00875579,Unclassified,N/A,N/A,General local species
5,Pokaran,Jaisalmer,Rajasthan,9689.17,345861,314.98,2906.75,2591.77,26.82,375.72,12.03,31.73,35.69562718,0.267491436,0.802474309,0.001007114,48.18874311,"Very hot, arid climate. (AEZ 2: Western Plains)","Prosopis cineraria (Khejri), Acacia tortilis (Israeli Babul), Tecomella undulata (Rohida)","Ziziphus mauritiana (Ber), Punica granatum (Pomegranate), Emblica officinalis (Amla)","Cenchrus ciliaris (Dhaman grass), Lasiurus sindicus (Sewan grass), Xerophytic shrubs"
6,Shiv,Barmer,Rajasthan,8061.61,405914,145.85,2418.48,2272.63,26.8,324.77,11.98,12.12,50.35148066,0.281907708,0.845723125,0.001420614,50.80021204,"Very hot, arid climate. (AEZ 2: Western Plains)","Prosopis cineraria (Khejri), Acacia tortilis (Israeli Babul), Tecomella undulata (Rohida)","Ziziphus mauritiana (Ber), Punica granatum (Pomegranate), Emblica officinalis (Amla)","Cenchrus ciliaris (Dhaman grass), Lasiurus sindicus (Sewan grass), Xerophytic shrubs"
7,Spiti,Lahul & Spiti,Himachal Pradesh,6970.11,9971,0.01,2091.03,2091.02,-10.29,396.79,35.84,125.56,1.430536964,0.299998135,0.899994405,4.04E-05,54.00127872,Unclassified,N/A,N/A,General local species
8,Kyelang,Lahul & Spiti,Himachal Pradesh,6653.75,16567,27.17,1996.12,1968.95,-9.83,792.49,40.87,57.05,2.489874131,0.295915837,0.887747511,7.02E-05,53.26766061,Unclassified,N/A,N/A,General local species
9,Kolayat,Bikaner,Rajasthan,8041.09,320928,728.79,2412.33,1683.54,26.81,445.93,12.4,6.36,39.91100709,0.209367138,0.628101414,0.001126047,37.73112672,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
10,Phalodi,Jodhpur,Rajasthan,8498.81,745606,1002.88,2549.64,1546.76,26.38,483.81,12.93,8.3,87.73063523,0.181997244,0.545991733,0.002475227,32.85851306,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
11,Chauhtan,Barmer,Rajasthan,6276.91,677176,495.09,1883.07,1387.98,27.08,428.46,12.98,8.89,107.8836561,0.221124725,0.663374176,0.003043823,39.92420349,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
12,Bikaner,Bikaner,Rajasthan,8979.18,1328057,1387.96,2693.75,1305.79,26.63,453.42,13.43,16.07,147.9040402,0.145424192,0.436272577,0.004172956,26.34327287,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
13,Barmer,Barmer,Rajasthan,4272.7,590365,22.75,1281.81,1259.06,26.71,363.52,12.5,0.87,138.1714139,0.294675498,0.884026494,0.00389836,53.19752403,"Very hot, arid climate. (AEZ 2: Western Plains)","Prosopis cineraria (Khejri), Acacia tortilis (Israeli Babul), Tecomella undulata (Rohida)","Ziziphus mauritiana (Ber), Punica granatum (Pomegranate), Emblica officinalis (Amla)","Cenchrus ciliaris (Dhaman grass), Lasiurus sindicus (Sewan grass), Xerophytic shrubs"
14,Lunkaransar,Bikaner,Rajasthan,6567.25,325625,952.77,1970.18,1017.41,26.12,405.72,12.93,7.05,49.58315886,0.154921771,0.464765313,0.001398936,27.94187622,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
15,Pachpadra,Barmer,Rajasthan,3708.07,536432,163.66,1112.42,948.76,26.75,464.71,13.8,6.61,144.6660931,0.255863562,0.767590687,0.004081601,46.21870526,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
16,Gurha Malini,Barmer,Rajasthan,4238.42,423212,373.89,1271.53,897.64,26.95,463.7,13.9,1.59,99.8513597,0.211786468,0.635359403,0.0028172,38.23425218,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
